Truck,Ship_Date,Delivery_Date,Trip_Num,Driver,Mileage,Origin,Destination
175,01/05/2015   3:00 pm,01/06/2015   8:00 am,47082,PHIL-MCNE,1312,"HODGKINS, IL","HODGKINS, IL"
175,01/06/2015   3:00 pm,01/07/2015   8:00 am,47088,PHIL-MCNE,1555,"MCGEHEE, AR","GREEN BAY, WI"
175,01/07/2015   3:00 pm,01/09/2015   8:00 am,47115,PHIL-MCNE,937,"EAU CLAIRE, WI","LONDON, KY"
175,01/09/2015   3:00 pm,01/10/2015   8:00 am,47133,PHIL-MCNE,482,"BOWLING GREEN, KY","DELAWARE, OH"
175,01/10/2015   3:00 pm,01/12/2015   8:00 am,47143,PHIL-MCNE,486,"COSHOCTON, OH","ASTON, PA"
175,01/12/2015   3:00 pm,01/14/2015   8:00 am,47214,PHIL-MCNE,1009,"LANCASTER, PA","WEST SALEM, WI"
175,01/14/2015   3:00 pm,01/15/2015   8:00 am,47246,PHIL-MCNE,727,"WISCONSIN RAPIDS, WI","ASHTABULA, OH"
175,01/16/2015   3:00 pm,01/19/2015   8:00 am,47268,PHIL-MCNE,713,"SAYBROOK, OH","DES MOINES, IA"
175,01/19/2015   3:00 pm,01/21/2015   8:00 am,47379,PHIL-MCNE,1473,"FORT DODGE, IA","RAYMOND, NH"
175,01/22/2015   3:00 pm,01/23/2015   8:00 am,47460,PHIL-MCNE,1202,"LEWISTON, ME","BOLINGBROOK, IL"
175,01/26/2015   3:00 pm,01/28/2015   8:00 am,47589,PHIL-MCNE,1074,"RICHFIELD, OH","MEMPHIS, TN"
175,01/29/2015   3:00 pm,01/30/2015   8:00 am,47616,PHIL-MCNE,552,"NEWPORT, AR","SHELBYVILLE, KY"
175,01/30/2015   3:00 pm,02/01/2015   8:00 am,47621,PHIL-MCNE,610,"BOWLING GREEN, KY","LUGOFF, SC"
175,02/01/2015   3:00 pm,02/02/2015   8:00 am,47705,PHIL-MCNE,256,"AUGUSTA, GA","CHARLOTTE, NC"
175,02/02/2015   3:00 pm,02/03/2015   8:00 am,47708,PHIL-MCNE,570,"ROCK HILL, SC","DELRAN, NJ"
175,02/03/2015   3:00 pm,02/05/2015   8:00 am,47785,PHIL-MCNE,879,"ELIZABETH, NJ","NORTH AURORA, IL"
175,02/10/2015   3:00 pm,02/12/2015   8:00 am,48011,PHIL-MCNE,1008,"UNIVERSITY PARK, IL","BELLINGHAM, MA"
175,02/12/2015   3:00 pm,02/13/2015   8:00 am,48023,PHIL-MCNE,681,"AYER, MA","MEDINA, OH"
175,02/13/2015   3:00 pm,02/16/2015   8:00 am,48059,PHIL-MCNE,1013,"EVANS CITY, PA","MAPLE LAKE, MN"
175,02/16/2015   3:00 pm,02/18/2015   8:00 am,48140,PHIL-MCNE,452,"EAGAN, MN","CHICAGO, IL"
175,02/18/2015   3:00 pm,02/20/2015   8:00 am,48211,PHIL-MCNE,730,"WEST CHICAGO, IL","HAZLETON, PA"
175,02/20/2015   3:00 pm,02/23/2015   8:00 am,48270,PHIL-MCNE,679,"LANCASTER, PA","SOUTH BEND, IN"
175,02/23/2015   3:00 pm,02/24/2015   8:00 am,48304,PHIL-MCNE,369,"MISHAWAKA, IN","SAINT LOUIS, MO"
175,02/26/2015   3:00 pm,02/27/2015   8:00 am,48411,PHIL-MCNE,692,"DWIGHT, IL","MEMPHIS, TN"
175,02/27/2015   3:00 pm,03/02/2015   8:00 am,48457,PHIL-MCNE,727,"MEMPHIS, TN","MANITOWOC, WI"
175,03/12/2015   3:00 pm,03/13/2015   8:00 am,48898,PETE-BARR,1031,"MISHAWAKA, IN","VIRGINIA BEACH, VA"
175,03/13/2015   3:00 pm,03/16/2015   8:00 am,48927,PETE-BARR,833,"CHESAPEAKE, VA","UNION CITY, TN"
