Time,Score
01/05/2015   3:00 pm,"HODGKINS, IL"
01/06/2015   3:00 pm,"MCGEHEE, AR"
01/07/2015   3:00 pm,"EAU CLAIRE, WI"
01/09/2015   3:00 pm,"BOWLING GREEN, KY"
01/10/2015   3:00 pm,"COSHOCTON, OH"
01/12/2015   3:00 pm,"LANCASTER, PA"
01/14/2015   3:00 pm,"WISCONSIN RAPIDS, WI"
01/16/2015   3:00 pm,"SAYBROOK, OH"
01/19/2015   3:00 pm,"FORT DODGE, IA"
01/22/2015   3:00 pm,"LEWISTON, ME"
01/26/2015   3:00 pm,"RICHFIELD, OH"
01/29/2015   3:00 pm,"NEWPORT, AR"
01/30/2015   3:00 pm,"BOWLING GREEN, KY"
02/01/2015   3:00 pm,"AUGUSTA, GA"
02/02/2015   3:00 pm,"ROCK HILL, SC"
02/03/2015   3:00 pm,"ELIZABETH, NJ"
02/10/2015   3:00 pm,"UNIVERSITY PARK, IL"
02/12/2015   3:00 pm,"AYER, MA"
02/13/2015   3:00 pm,"EVANS CITY, PA"
02/16/2015   3:00 pm,"EAGAN, MN"
02/18/2015   3:00 pm,"WEST CHICAGO, IL"
02/20/2015   3:00 pm,"LANCASTER, PA"
02/23/2015   3:00 pm,"MISHAWAKA, IN"
02/26/2015   3:00 pm,"DWIGHT, IL"
02/27/2015   3:00 pm,"MEMPHIS, TN"
03/12/2015   3:00 pm,"MISHAWAKA, IN"
03/13/2015   3:00 pm,"CHESAPEAKE, VA"
03/16/2015   3:00 pm,"MARTIN, TN"
03/17/2015   3:00 pm,"FAYETVILLE, NC"
03/19/2015   3:00 pm,"COMBINED LOCKS, WI"
03/23/2015   3:00 pm,"HOLLAND, OH"
03/24/2015   3:00 pm,"BALTIMORE, MD"
03/25/2015   3:00 pm,"JOHNSTOWN, NY"
04/29/2015   3:00 pm,"ROMEOVILLE, IL"
05/01/2015   3:00 pm,"CHESAPEAKE, VA"
05/04/2015   3:00 pm,"WRIGHT CITY, MO"
05/05/2015   3:00 pm,"SALINA, KS"
05/07/2015   3:00 pm,"MONTGOMERY, AL"
05/11/2015   3:00 pm,"COLUMBUS, OH"
05/14/2015   3:00 pm,"MARYSVILLE, OH"
05/15/2015   3:00 pm,"CONYERS, GA"
05/18/2015   3:00 pm,"OTTAWA, IL"
05/19/2015   3:00 pm,"BEDFORD, OH"
05/20/2015   3:00 pm,"NEWARK, NJ"
05/21/2015   3:00 pm,"ASHTABULA, OH"
05/22/2015   3:00 pm,"NEW BERN, NC"
06/01/2015   3:00 pm,"AUBURNDALE, FL"
06/02/2015   3:00 pm,"CLIFTON FORGE, VA"
06/04/2015   3:00 pm,"WALDWICK, NJ"
06/05/2015   3:00 pm,"MOORESVILLE, NC"
06/08/2015   3:00 pm,"ROCHESTER, NY"
06/10/2015   3:00 pm,"AUGUSTA, GA"
06/11/2015   3:00 pm,"SMYRNA, TN"
06/12/2015   3:00 pm,"MANHEIM, PA"
06/15/2015   3:00 pm,"CEDAR RAPIDS, IA"
06/17/2015   3:00 pm,"PLAINFIELD, IN"
06/18/2015   3:00 pm,"HOWARD, PA"
06/19/2015   3:00 pm,"OSWEGO, NY"
06/22/2015   3:00 pm,"MADISON, TN"
