Time,Score
2015-01-01 10:43:00,"WALTON, KY"
2015-01-03 09:30:00,"DUMAS, AR"
2015-01-05 21:25:00,"EATON, OH"
2015-01-07 17:28:00,"COTTAGE GROVE, WI"
2015-01-10 13:29:00,"SUNBURY, OH"
2015-01-13 13:18:00,"PERRYSBURG, OH"
2015-01-15 07:25:00,"HIGHLAND, IN"
2015-01-15 07:25:00,"HIGHLAND, IN"
2015-01-19 02:25:00,"DAVENPORT, IA"
2015-01-20 19:37:00,"AUSTINBURG, OH"
2015-01-22 21:15:00,"CASTLETON-ON-HUDSON (SCHODACK, NY"
2015-01-26 17:10:00,"FREMONT, IN"
2015-01-29 12:06:00,"MEMPHIS, TN"
2015-01-30 17:32:00,"FRANKLIN, KY"
2015-02-02 16:34:00,"HAW RIVER, NC"
2015-02-03 18:09:00,"MILTON, PA"
2015-02-09 16:38:00,"GARY, IN"
2015-02-11 13:54:00,"BUFFALO, NY"
2015-02-13 09:44:00,"ERIE, PA"
2015-02-16 07:22:00,"MAUSTON, WI"
2015-02-17 19:25:00,"COTTAGE GROVE, WI"
2015-02-20 17:28:00,"PINE GROVE, PA"
2015-02-23 20:22:00,"DWIGHT, IL"
2015-02-27 09:00:00,"WEST MEMPHIS, AR"
2015-04-29 19:52:00,"DEXTER, MI"
2015-05-01 10:21:00,"SUFFOLK, VA"
2015-05-01 21:32:00,"HURRICANE, WV"
2015-05-04 18:37:00,"OAK GROVE, MO"
2015-05-05 13:04:00,"SALINA, KS"
2015-05-06 19:13:00,"EARLE, AR"
2015-05-09 08:02:00,"JEFFERSONVILLE, OH"
2015-05-12 03:20:00,"PEMBROKE, NY"
2015-05-13 06:22:00,"LIVERPOOL, NY"
2015-05-14 14:32:00,"WALTON, KY"
2015-05-15 21:47:00,"ATLANTA, GA"
2015-05-17 00:39:00,"DWIGHT, IL"
2015-06-22 12:59:00,"DICKSON, TN"
2015-07-20 08:53:00,"ORMOND BEACH, FL"
2015-07-24 11:50:00,"BOWMAN, SC"
2015-08-01 15:08:00,"SPARTA, KY"
2015-08-13 00:06:00,"ATLANTA, GA"
2015-10-21 13:55:00,"DUNCAN, SC"
2015-10-28 18:24:00,"JEFFERSONVILLE, OH"
2015-11-06 16:55:00,"GARY, IN"
2015-11-09 17:33:00,"WELLS, NV"
2015-12-10 02:18:00,"BELLEVILLE, IN"
2015-12-16 21:39:00,"SANTA NELLA, CA"
2015-12-19 13:11:00,"HESPERIA, CA"
2015-03-11 17:48:00,"LEBANON, IN"
2015-03-11 17:56:00,"LEBANON, IN"
2015-03-13 23:10:00,"STAUNTON, VA"
2015-03-16 13:35:00,"DICKSON, TN"
2015-03-17 08:57:00,"KENLY, NC"
2015-03-19 09:16:00,"DE PERE, WI"
2015-03-19 19:59:00,"STURTEVANT, WI"
2015-03-19 22:23:00,"BOLINGBROOK, IL"
2015-03-23 07:56:00,"LANSING, MI"
2015-03-24 17:07:00,"PERRYVILLE, MD"
2015-03-26 10:59:00,"AVON, OH"
